no,type,score,question,answer,option1,option2,option3,option4,question_source,answer_info,answer_source,answer_reference
1,qcan,80,一分鐘內說出全世界一位知名舞蹈家或舞團的名字,,恭喜答對了,,再試試看,,,,,林懷民，鄧肯
2,qian,60,看這張圖片說出20 個形容詞,,,,,,http://joebaraban.com/blog/wp-content/uploads/2013/01/couple-walking-down-tree-line-in-France_DM.jpg,,,
3,qvan,80,請看這支影片，在觀看三次後，跳出這段西班牙民俗舞蹈,,啊唷，不錯喔,,啊唷，錯了喔,,"<iframe width=""420"" height=""315"" src=""https://www.youtube.com/embed/xqxJMCQxb_Q"" frameborder=""0"" allowfullscreen></iframe>",,,
4,qaan,100,請聽這首音樂，在聽三次後，哼出這首法國名曲,,你答對了最難的題目耶！,,這題很難沒關係啦,,"<iframe width=""100%"" height=""450"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/253636588&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true""></iframe>",,,香榭里舍大道
5,qcan,100,一分鐘內說出兩幅世界知名畫家達文西的作品名稱,,,,,,,,,蒙娜麗莎的微笑，最後的晚餐
6,qcan,80,一分鐘內說出五位世界知名音樂家的名字,,,,,,,,,貝多芬、莫札特、海頓，馬友友、布拉姆斯、蕭邦
7,qcan,80,用國語以外的語言唱一首歌,,,,,,,,,
7,qcan,60,說出一部喜歡看的卡通或戲劇，告訴大家那是哪一個國家的作品,,,,,,,,,米老鼠-美國、神奇寶貝-日本
8,qvan,100,看完這段廣告，說出這是哪一個國家的廣告,,,,,,"<iframe width=""420"" height=""315"" src=""https://www.youtube.com/embed/WDncfptDjPU"" frameborder=""0"" allowfullscreen></iframe>",,,泰國
9,qcan,60,說出三位世界知名的棒球隊員,,,,,,,,,王建明，鈴木一郎、陳偉殷、陳金鋒
10,qcan,60,說出四位世界知名的籃球員,,,,,,,,,林書豪、麥可喬登、Kobe、Curry、姚明
11,qcan,80,說出三位藝術家,,,,,,,,,拉斐爾、陳澄波、梵谷
