no,type,score,question,answer,option1,option2,option3,option4,question_source,answer_info,answer_source,
1,qcac,50,探險家皮皮到越南旅行，想吃一碗有名的越南河粉，下面哪個選項才是越南河粉正確的發音呢？,3,fa(音同“發”),hi(音同“嗨”),pho(音同“佛”),la(音同“拉”),,,http://a.ctimg.net/XkXow8DjS7adnspwoqNopQ/pho-tai-nam-vietnamese-noodle-soup-recipe.1024x1024.jpg,
2,qiac,50,這張圖片的人生活在什麼地區？,2,北極,喜馬拉雅山,大峽谷,熱帶雨林,https://image1.thenewslens.com/2015/10/42-69827344-1024x683.jpg,,,
3,qvac,50,下面的影片場景發生在什麼地方？,4,台東,紐西蘭,印度,肯亞,<iframe width="420" height="315" src="https://www.youtube.com/embed/ZwfzGrYshFU" frameborder="0" allowfullscreen></iframe>,,,
4,qaac,50,下面的音樂是哪個地區的音樂？,4,非洲,歐洲,中東,東南亞,<iframe width="100%" height="450" scrolling="no" frameborder="no" src="https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/14535284&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;visual=true"></iframe>,甘美朗是印度尼西亞歷史最悠久的一種民族樂器，又以峇里島及爪哇島的甘美朗合奏最為著名。 主要的樂器有鋼片琴類、木琴類、鼓、鑼、竹笛、撥弦及拉弦樂器，有些曲目亦可以加上演唱者。,https://www.muzik-online.com/files/article/2013020112323381.jpg,
5,qcai,50,波波在英國遊玩，突然肚子痛想上廁所，請問應該找下面那個標誌?,3,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Underground.svg/150px-Underground.svg.png,http://www.eplates.info/3BRD.gif,https://img1.etsystatic.com/000/0/5451372/il_fullxfull.163408547.jpg,http://l7.alamy.com/zooms/786abd2abbd84875b0a78208d5cbfd11/abbey-road-sign-london-england-united-kingdom-c5dr5t.jpg,,loo這個詞在英國很常用，是個口語詞，一般指私人住宅中的廁所。它的由來有一個有趣的說法。據說，在英國，許多大樓的100號都是廁所（大家以後去英國可以實地考察一下），由於100和loo形似，於是就把loo指代成廁所了。,,
7,qcac,50,小智和小霞在日本渡假，小智說：我們去看「鳥居」吧！請問鳥居是什麼呢？,2,鳥園,神社（相當於台灣的廟宇）建築的一部份,動物園,商業中心的建築,https://d13yacurqjgara.cloudfront.net/users/59100/screenshots/2894307/me_1x.jpg,"豎立鳥居的習俗，據說於設立神社前已經存在[1]。豎立鳥居的習俗，據說於設立神社前已經存在[1]。
",,
8,qcac,50,印度的「咖哩」(kari) 是什麼意思呢？,4,扁豆料理,蕃茄料理,馬鈴薯料理,「將各種香料混合烹煮」的意思。,,也有人說第一位做咖哩的人是釋迦牟尼，在印度的傳說中，釋迦牟尼是教導人們使用含香味及辛辣味道的樹木、果實、樹皮及草根來調理羊肉；當人們吃了這些羊肉後， 不經意叫出Kuri（指太好、極美之義），此後即演變成咖哩(Curry）的稱呼。,,
10,qcac,50,越南是全球第二大咖啡出口國，是什麼原因讓越南成為亞洲較早開啟咖啡文化的國度？,2,越南人習慣吃河粉配咖啡,以前被法國殖民過,因為發生過越戰,因為稻米田旁邊適合種咖啡,,,,http://goo.gl/NucY4D
11,qiac,50,台灣街頭會看到一些帶著頭紗的外國女子，請問她們為什麼會帶著這樣的頭紗呢？,1, 她們信奉回教,台灣空氣不好,她們覺得自己的頭髮不好看想遮住,希望可以防曬,https://one-forty.org/wp-content/uploads/2016/08/one-forty-post-20160802-2.jpg,面紗的存在一個簡單的原因是阿拉伯人生活與沙漠，面紗是遮擋風沙之用，而伊斯蘭教最早興盛於阿拉伯。另一個原因是面紗可以保護婦女避免不必要的騷擾。,,
12,qcac,50,今年奧運在哪個國家舉辦？,2,非洲的埃及,南美洲的巴西,亞州的巴基斯坦,南美洲的阿根廷,,,,
13,qcac,50,有名的歷史古蹟“萬里長城”位在哪個國家？,2,越南,中國,印尼,突尼西亞,,,,
14,qcac,50,收藏許多舉世聞名的藝術品的「羅浮宮」位在哪個國家？,4,英國,匈牙利,捷克,法國,,,,
15,qcac,50,奧運的起源地是哪裡？,3,中國,韓國,古希臘,澳洲,,,,
16,qcac,50,東南亞包含以下哪個區域？,3,中南半島,南洋群島,以上皆是,以上皆非,,,,
17,qcac,50,毛利人是哪一國的原住民?,4,黎巴嫩,羅馬尼亞,哥斯大黎加,紐西蘭,,,,
18,qcac,50,小剛有個心願，是去看馬雅古文明的遺跡，他應該要去哪裡玩呢？,1,中南美洲,澳洲,亞洲,南極州,,,,
19,qcac,50,『世界七大奇景』當中，在亞洲的有中國的萬里長城和印度的哪一個景點？,1,泰姬瑪哈陵,大昭寺,吳哥窟,競技場,,,,
20,qiac,50, 著名的金字塔原本的功能是什麼？,3,溫室花園,私人武術館,墳墓,會議室,,,,
21,qiac,50,請問下面這個輕軌的圖片出現在以下哪個國家？,4,亞洲的泰國,北美洲的加拿大,大洋洲的紐西蘭,非洲的衣索比亞,http://caijing.chinadaily.com.cn/img/attachement/jpg/site1/20150922/d8cb8a3d705b176b101401.jpg,http://caijing.chinadaily.com.cn/2015-09/22/content_21947165.htm,,
22,qcac,50,2020年的奧運由哪一個國家舉辦？,2,阿根廷,日本,新加坡,加拿大,,,,
23,qcac,50,小寶的姊姊在寒假要去澳洲工作，那個時候澳洲是哪個季節？,2,春天,夏天,秋天,冬天,,,,
24,qiac,50,圖中深紅色區塊是哪一洲？,1,歐洲,亞洲,北美洲,大洋洲,https://upload.wikimedia.org/wikipedia/commons/6/6e/Continents_by_colour.png,,,
25,qiac,50,圖中藍色區塊是哪一洲？,3,北美洲,非洲,南極洲,南美洲,https://upload.wikimedia.org/wikipedia/commons/6/6e/Continents_by_colour.png,,,
26,qiac,50,圖中黃色區塊是哪一洲？,4,歐洲,亞洲,南美洲,非洲,https://upload.wikimedia.org/wikipedia/commons/6/6e/Continents_by_colour.png,,,
27,qiac,50,圖中淺綠色區塊是哪一洲？,4,亞洲,非洲,大洋洲,北美洲,https://upload.wikimedia.org/wikipedia/commons/6/6e/Continents_by_colour.png,,,
28,qiac,50,圖中粉紅色區塊是哪一洲？,1,大洋洲,非洲,亞洲,歐洲,https://upload.wikimedia.org/wikipedia/commons/6/6e/Continents_by_colour.png,,,
29,qiac,50,圖中紅色區塊是哪一洲？,2,北美洲,亞洲,南美洲,亞洲,https://upload.wikimedia.org/wikipedia/commons/6/6e/Continents_by_colour.png,,,
30,qiac,50,圖中深綠色區塊是哪一洲？,1,南美洲,非洲,北美洲,大洋洲,https://upload.wikimedia.org/wikipedia/commons/6/6e/Continents_by_colour.png,,,
31,qcac,50,在非洲肯亞大草原看不到以下哪種動物？,3,獵豹,獅子,企鵝,長頸鹿,,,,
32,qcac,50,世界上第一個女性有選舉權的國家,3,西班牙,中國,紐西蘭,日本,,https://zh.wikipedia.org/wiki/%E6%96%B0%E8%A5%BF%E5%85%B0,,
33,qcac,50, 巧克力最主要的原料就是可可豆，那個地區是可可豆的產地？,4,中南美洲,西非,東南亞,以上皆是,,可可豆的產地主要是分布於赤道南、北緯約20度以內的區塊。[1]因為氣候炎熱、多雨的環境，是最適合可可豆生長的環境。現今可可豆主要的產地主要有中南美洲、西非及東南亞等三地。,,
34,qcac,50,紐西蘭哪一種動物最多？,4,猴子,馬,熊,羊,,http://big5.china.com.cn/gate/big5/art.china.cn/travel/2015-02/16/content_7699783.htm,,
35,qcac,50,下面哪個選項不是源自泰國的特色料理？,1,月亮蝦餅,冬蔭功湯,炒含羞草,打拋豬肉,炒含羞草：http://www.backpackers.com.tw/forum/showthread.php?t=716799,,,
36,qiac,50,猜猜下面那張圖位於哪個城市？,2,柬埔寨的金邊,蒙古的烏蘭巴托,越南的河內,摩洛哥的拉巴特,http://pic10.nipic.com/20101019/3970232_192636097740_2.jpg,http://www.nipic.com/show/1/73/3818015kabf50239.html,,
37,qcac,50,對中國人來說，下面哪種植物既是蔬菜也是水果？,1,小黃瓜,茄子,玉米,蘋果,,,,
38,qcac,50,格林童話的出版者，格林兄弟是哪一國人？,2,比利時,德國人,韓國,印度,,,,
39,,50,哪個國家在今年7月15日國慶日發生恐怖攻擊？,3,立陶宛,日本,法國,荷蘭,,,,
40,qcac,50,加拿大以前被哪一個國家統治？,2,日本,英國,美國,法國,,放加拿大的金幣,,
41,qcac,50,需要穿厚重衣物來禦寒的愛斯基摩人會出現在以下哪個區域？,3,越南,新加坡, 北美洲北部,印尼,,,,
42,qcac,50,阿拉伯地區擁有許多下列哪一項珍貴的能源？,1,石油,鋁,鐵,銅礦,,,,
43,qcac,50,哪些是韓國人在跟長輩喝酒時會做的舉動？,3,要讓長輩先喝,自己要轉過頭喝,以上皆是,以上皆非,,,http://7.share.photo.xuite.net/jazzcat123.tw/173e2a4/13398084/689740384_m.jpg,
44,qcac,50,哪一個國家一年過三次兒童節,4,西班牙,俄羅斯,台灣,日本,,http://tfcf1957.pixnet.net/blog/post/446653838-%E5%90%84%E5%9C%8B%E6%9C%89%E8%B6%A3%E7%9A%84%E5%85%92%E7%AB%A5%E7%AF%80%E7%BF%92%E4%BF%97,,
45,qcac,50,小美人魚的作者安徒生是哪一國人？,4,芬蘭,羅馬尼亞,保加利亞,丹麥,,,,
46,qcac,50,印度人大多數人信仰哪一個宗教？,1,印度教,基督教,伊斯蘭教,佛教,,,,
